Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Wong, Chingping",7404954862,1608,"Materials Science
Engineering
Chemistry
Physics and Astronomy
Energy
Chemical Engineering
Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Computer Science
Multidisciplinary
Mathematics
Agricultural and Biological Sciences
Earth and Planetary Sciences
Business, Management and Accounting
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
",,
"Mavris, Dimitri N.",57201567978,1244,"Engineering
Energy
Computer Science
Earth and Planetary Sciences
Environmental Science
Mathematics
Materials Science
Social Sciences
Physics and Astronomy
Decision Sciences
Business, Management and Accounting
Chemical Engineering
Health Professions
Medicine
Multidisciplinary
Chemistry
",0000-0001-8783-4988,
"Xia, Younan",7403027697,929,"Materials Science
Chemistry
Physics and Astronomy
Engineering
Chemical Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Energy
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Environmental Science
Social Sciences
Computer Science
Earth and Planetary Sciences
Mathematics
Agricultural and Biological Sciences
",0000-0003-2431-7048,
"Deng, Yulin",55261848900,798,"Chemistry
Materials Science
Engineering
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Medicine
Physics and Astronomy
Energy
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Computer Science
Agricultural and Biological Sciences
Multidisciplinary
Immunology and Microbiology
Mathematics
Business, Management and Accounting
Social Sciences
Earth and Planetary Sciences
Health Professions
Economics, Econometrics and Finance
Arts and Humanities
Decision Sciences
",,
"Liu, Meilin",7406297489,759,"Materials Science
Energy
Chemistry
Physics and Astronomy
Engineering
Chemical Engineering
Environmental Science
Computer Science
Medicine
Biochemistry, Genetics and Molecular Biology
Mathematics
Agricultural and Biological Sciences
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Earth and Planetary Sciences
Social Sciences
Neuroscience
Nursing
",0000-0002-6188-2372,
"El-Sayed, Mostafa A.",7202416287,730,"Chemistry
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Engineering
Chemical Engineering
Medicine
Energy
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Environmental Science
Mathematics
Computer Science
Agricultural and Biological Sciences
Social Sciences
Immunology and Microbiology
",,
"Haddad, Wassim M.",35461378700,650,"Engineering
Mathematics
Computer Science
Chemical Engineering
Physics and Astronomy
Medicine
Decision Sciences
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
Energy
Immunology and Microbiology
Materials Science
Social Sciences
Chemistry
Veterinary
Agricultural and Biological Sciences
Economics, Econometrics and Finance
Environmental Science
Multidisciplinary
Neuroscience
Health Professions
",,
"Harley, Ronald Gordon",7102990161,616,"Engineering
Energy
Computer Science
Mathematics
Materials Science
Physics and Astronomy
Decision Sciences
Business, Management and Accounting
Neuroscience
Economics, Econometrics and Finance
Social Sciences
",,
"Jones, Christopher W.",55448095700,609,"Chemistry
Chemical Engineering
Materials Science
Energy
Environmental Science
Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
Earth and Planetary Sciences
Multidisciplinary
Agricultural and Biological Sciences
Computer Science
Neuroscience
",,
"Dupuis, Russell D.",35497853900,590,"Physics and Astronomy
Engineering
Materials Science
Computer Science
Chemistry
Mathematics
Earth and Planetary Sciences
Energy
Chemical Engineering
Environmental Science
Multidisciplinary
",,
"Reynolds, John R.",55533689400,573,"Materials Science
Chemistry
Chemical Engineering
Physics and Astronomy
Engineering
Energy
Biochemistry, Genetics and Molecular Biology
Medicine
Computer Science
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Arts and Humanities
",,
"Liu, Ling",55628583368,548,"Computer Science
Engineering
Mathematics
Decision Sciences
Business, Management and Accounting
Social Sciences
Energy
Biochemistry, Genetics and Molecular Biology
Neuroscience
Earth and Planetary Sciences
Materials Science
Physics and Astronomy
",0000-0002-4138-3082,
"Meíndl, James D.",35778845800,538,"Engineering
Materials Science
Physics and Astronomy
Computer Science
Medicine
Chemical Engineering
Mathematics
Multidisciplinary
Health Professions
Energy
Chemistry
Environmental Science
Biochemistry, Genetics and Molecular Biology
",,
"Tsukruk, Vladimir V.",7004975652,523,"Materials Science
Chemistry
Physics and Astronomy
Engineering
Chemical Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Energy
Earth and Planetary Sciences
Multidisciplinary
Agricultural and Biological Sciences
Computer Science
Neuroscience
",,
"Koros, William J.",7102165550,513,"Materials Science
Chemical Engineering
Chemistry
Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Energy
Medicine
Mathematics
Social Sciences
Earth and Planetary Sciences
Agricultural and Biological Sciences
Multidisciplinary
",,
"McDowell, David L.",55510256300,507,"Engineering
Materials Science
Physics and Astronomy
Mathematics
Computer Science
Chemistry
Earth and Planetary Sciences
Chemical Engineering
Energy
Arts and Humanities
Medicine
Environmental Science
Biochemistry, Genetics and Molecular Biology
Decision Sciences
Business, Management and Accounting
Multidisciplinary
",,
"Trebino, Rick P.",7006038251,481,"Physics and Astronomy
Engineering
Materials Science
Computer Science
Mathematics
Chemistry
Medicine
Chemical Engineering
Earth and Planetary Sciences
Environmental Science
Business, Management and Accounting
Multidisciplinary
Agricultural and Biological Sciences
Energy
",,
"Russell, Armistead G.",56403904000,474,"Environmental Science
Earth and Planetary Sciences
Medicine
Chemistry
Energy
Engineering
Mathematics
Computer Science
Physics and Astronomy
Materials Science
Chemical Engineering
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
Agricultural and Biological Sciences
Decision Sciences
Psychology
Business, Management and Accounting
Neuroscience
Arts and Humanities
",,
"Egerstedt, Magnus B.",7003766867,472,"Engineering
Computer Science
Mathematics
Chemical Engineering
Decision Sciences
Biochemistry, Genetics and Molecular Biology
Energy
Physics and Astronomy
Social Sciences
Earth and Planetary Sciences
Medicine
Arts and Humanities
Psychology
Multidisciplinary
Agricultural and Biological Sciences
Neuroscience
",,
"Kohl, Paul A.",7102180942,460,"Materials Science
Engineering
Chemistry
Physics and Astronomy
Energy
Chemical Engineering
Computer Science
Environmental Science
Biochemistry, Genetics and Molecular Biology
Mathematics
Earth and Planetary Sciences
Social Sciences
Medicine
Multidisciplinary
",,
"Rohatgi, Ajeet",7102730517,452,"Engineering
Physics and Astronomy
Materials Science
Energy
Chemistry
Computer Science
Mathematics
Chemical Engineering
Environmental Science
Medicine
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
",,
"Taboada, Ignacio J.",35238956600,441,"Physics and Astronomy
Multidisciplinary
Earth and Planetary Sciences
Engineering
Mathematics
Computer Science
Medicine
Arts and Humanities
Chemistry
",0000-0003-3509-3457,
"Landmán, Uzi",7006670813,418,"Physics and Astronomy
Chemistry
Materials Science
Chemical Engineering
Engineering
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Energy
Medicine
Mathematics
Computer Science
",,
"Sakis Meliopoulos, Athanasios P.",7006823587,416,"Engineering
Energy
Computer Science
Mathematics
Decision Sciences
Business, Management and Accounting
Materials Science
Social Sciences
Chemical Engineering
Economics, Econometrics and Finance
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
",,
"Vachtsevanos, George J.",7006646368,413,"Engineering
Computer Science
Mathematics
Health Professions
Energy
Chemical Engineering
Physics and Astronomy
Medicine
Materials Science
Earth and Planetary Sciences
Decision Sciences
Neuroscience
Environmental Science
Social Sciences
Biochemistry, Genetics and Molecular Biology
",,
"Schwan, Karsten",7006465424,394,"Computer Science
Engineering
Mathematics
Earth and Planetary Sciences
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Decision Sciences
Materials Science
Social Sciences
Environmental Science
Business, Management and Accounting
",,
"Mukhopadhyay, Saibal",8330116700,393,"Engineering
Computer Science
Materials Science
Physics and Astronomy
Mathematics
Medicine
Social Sciences
Neuroscience
Decision Sciences
Arts and Humanities
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Energy
Multidisciplinary
Chemistry
",,
"Pu, Calton",7007061293,393,"Computer Science
Engineering
Mathematics
Decision Sciences
Biochemistry, Genetics and Molecular Biology
Business, Management and Accounting
Social Sciences
Neuroscience
Physics and Astronomy
Chemical Engineering
Materials Science
Immunology and Microbiology
Economics, Econometrics and Finance
Pharmacology, Toxicology and Pharmaceutics
Medicine
Energy
",,
"Yang, Vigor",7102799598,390,"Engineering
Energy
Physics and Astronomy
Chemical Engineering
Earth and Planetary Sciences
Chemistry
Mathematics
Materials Science
Computer Science
Environmental Science
Decision Sciences
",,
"Skolnick’, Jeffrey",7103056580,389,"Biochemistry, Genetics and Molecular Biology
Chemistry
Materials Science
Medicine
Computer Science
Physics and Astronomy
Mathematics
Multidisciplinary
Immunology and Microbiology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Chemical Engineering
Engineering
Environmental Science
Social Sciences
Nursing
",,
"Herrmann, Felix J.",7201875640,385,"Earth and Planetary Sciences
Mathematics
Computer Science
Engineering
Physics and Astronomy
Materials Science
Medicine
Chemical Engineering
Arts and Humanities
Environmental Science
Health Professions
",,
"Cadonati, Laura",35226999500,383,"Physics and Astronomy
Earth and Planetary Sciences
Mathematics
Multidisciplinary
Computer Science
Environmental Science
Medicine
Materials Science
Chemistry
",,
"Tsiotras, Panagiotis",7006580129,383,"Engineering
Computer Science
Mathematics
Earth and Planetary Sciences
Physics and Astronomy
Chemical Engineering
Decision Sciences
Economics, Econometrics and Finance
Social Sciences
Environmental Science
Medicine
Materials Science
",,
"Lieuwen, Tim C.",7004824356,381,"Engineering
Energy
Chemical Engineering
Chemistry
Physics and Astronomy
Earth and Planetary Sciences
Mathematics
Environmental Science
Medicine
Materials Science
",0000-0002-5040-4789,
"Finn, Meghan G.",7101724113,379,"Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Chemical Engineering
Medicine
Pharmacology, Toxicology and Pharmaceutics
Engineering
Physics and Astronomy
Environmental Science
Immunology and Microbiology
Energy
Earth and Planetary Sciences
Neuroscience
Multidisciplinary
Computer Science
Social Sciences
Agricultural and Biological Sciences
Veterinary
",,
"Menon, Suresh",7201837840,379,"Engineering
Energy
Chemical Engineering
Physics and Astronomy
Earth and Planetary Sciences
Chemistry
Mathematics
Computer Science
Environmental Science
Materials Science
",,
"Prausnitz, Mark R.",7006199362,371,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Engineering
Chemistry
Materials Science
Chemical Engineering
Immunology and Microbiology
Neuroscience
Physics and Astronomy
Multidisciplinary
Agricultural and Biological Sciences
Veterinary
Health Professions
Environmental Science
Computer Science
Energy
Mathematics
Social Sciences
",,
"van Hentenryck, Pascal",55667017700,366,"Computer Science
Mathematics
Engineering
Decision Sciences
Energy
Biochemistry, Genetics and Molecular Biology
Social Sciences
Medicine
Environmental Science
Business, Management and Accounting
Agricultural and Biological Sciences
Economics, Econometrics and Finance
Arts and Humanities
Earth and Planetary Sciences
Multidisciplinary
Psychology
Materials Science
Chemical Engineering
",0000-0001-7085-9994,
"Crittenden, John Charles",56011733700,365,"Environmental Science
Chemistry
Chemical Engineering
Medicine
Engineering
Energy
Materials Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Business, Management and Accounting
Social Sciences
Earth and Planetary Sciences
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Computer Science
Decision Sciences
Multidisciplinary
Economics, Econometrics and Finance
Mathematics
Immunology and Microbiology
",,
"Hodges, Dewey H.",7103260310,364,"Engineering
Physics and Astronomy
Mathematics
Materials Science
Computer Science
Energy
Earth and Planetary Sciences
Decision Sciences
Medicine
Social Sciences
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
",,
"Kurfess, Thomas R.",7006425224,364,"Engineering
Computer Science
Physics and Astronomy
Mathematics
Materials Science
Business, Management and Accounting
Decision Sciences
Social Sciences
Environmental Science
Chemical Engineering
Neuroscience
Medicine
Energy
Biochemistry, Genetics and Molecular Biology
Chemistry
",,
"Calise, Anthony J.",7005087174,361,"Engineering
Mathematics
Physics and Astronomy
Computer Science
Earth and Planetary Sciences
Chemical Engineering
Energy
Materials Science
Social Sciences
Decision Sciences
Environmental Science
Medicine
Chemistry
",,
"García, Andrés J.",7404609188,349,"Biochemistry, Genetics and Molecular Biology
Materials Science
Engineering
Medicine
Chemical Engineering
Chemistry
Physics and Astronomy
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Immunology and Microbiology
Dentistry
Energy
Computer Science
Mathematics
Health Professions
Agricultural and Biological Sciences
",,
"Dai, Bo",14323218700,345,"Medicine
Computer Science
Biochemistry, Genetics and Molecular Biology
Mathematics
Engineering
Social Sciences
Immunology and Microbiology
Multidisciplinary
Arts and Humanities
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Chemical Engineering
Chemistry
Neuroscience
Nursing
Materials Science
",,
"Takayama, Shuichi",7202979593,327,"Biochemistry, Genetics and Molecular Biology
Engineering
Chemistry
Medicine
Chemical Engineering
Materials Science
Physics and Astronomy
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Agricultural and Biological Sciences
Environmental Science
Neuroscience
Immunology and Microbiology
Computer Science
Health Professions
Mathematics
Earth and Planetary Sciences
Veterinary
",0000-0002-4385-9080,
"Hess, Dennis W.",7202440068,326,"Materials Science
Physics and Astronomy
Chemistry
Engineering
Chemical Engineering
Energy
Computer Science
Mathematics
Biochemistry, Genetics and Molecular Biology
Environmental Science
Agricultural and Biological Sciences
Decision Sciences
Medicine
Business, Management and Accounting
Social Sciences
",,
"Eckert, Charles A.",35554422200,325,"Chemical Engineering
Chemistry
Environmental Science
Materials Science
Engineering
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Energy
Social Sciences
Multidisciplinary
Medicine
Pharmacology, Toxicology and Pharmaceutics
Economics, Econometrics and Finance
Business, Management and Accounting
Neuroscience
Computer Science
Immunology and Microbiology
",,
"Otte, Adam Nepomuk",15844157400,323,"Physics and Astronomy
Earth and Planetary Sciences
Multidisciplinary
Engineering
Computer Science
Mathematics
Materials Science
Energy
Medicine
",0000-0002-5955-6383,
"Nerem, Robert M.",7102344390,319,"Biochemistry, Genetics and Molecular Biology
Engineering
Medicine
Chemical Engineering
Materials Science
Computer Science
Agricultural and Biological Sciences
Physics and Astronomy
Multidisciplinary
Immunology and Microbiology
Health Professions
Decision Sciences
Mathematics
Environmental Science
Chemistry
Social Sciences
Business, Management and Accounting
Pharmacology, Toxicology and Pharmaceutics
Dentistry
Arts and Humanities
Energy
Neuroscience
Psychology
",,
"Perry, Joseph W.",35447742400,316,"Materials Science
Physics and Astronomy
Chemistry
Engineering
Chemical Engineering
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Computer Science
Mathematics
Medicine
Energy
Business, Management and Accounting
",,
"Wang, Ben",35206854400,312,"Engineering
Materials Science
Chemical Engineering
Chemistry
Physics and Astronomy
Computer Science
Medicine
Decision Sciences
Biochemistry, Genetics and Molecular Biology
Energy
Business, Management and Accounting
Mathematics
Environmental Science
Social Sciences
Economics, Econometrics and Finance
Immunology and Microbiology
Dentistry
Multidisciplinary
",,
"Sarkar, Vivek",57204320465,308,"Computer Science
Mathematics
Engineering
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Decision Sciences
Physics and Astronomy
Energy
",,
"Merrill, Alfred H.",7101966373,307,"Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Environmental Science
Immunology and Microbiology
Computer Science
Mathematics
Nursing
Engineering
Neuroscience
Chemical Engineering
Multidisciplinary
Health Professions
Decision Sciences
Arts and Humanities
Psychology
Social Sciences
",,
"Ramprasad, Ramamurthy",8927327700,304,"Materials Science
Physics and Astronomy
Chemistry
Engineering
Computer Science
Energy
Chemical Engineering
Medicine
Mathematics
Biochemistry, Genetics and Molecular Biology
Social Sciences
Multidisciplinary
Environmental Science
Decision Sciences
",,
"Ammar, Mostafa H.",7101794221,301,"Computer Science
Engineering
Mathematics
Physics and Astronomy
Decision Sciences
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Materials Science
Social Sciences
Environmental Science
",,
"Zinn, Ben T.",7006653905,301,"Engineering
Energy
Chemical Engineering
Earth and Planetary Sciences
Chemistry
Physics and Astronomy
Materials Science
Arts and Humanities
Medicine
Computer Science
",,
